DrugBank ID	HMDB ID	PTID_num	SMILES	T3DB ID
			[H][C](C)(CCC(O)=O)[C]1([H])CC[C]2([H])[C]3([H])[C]([H])(O)C[C]4([H])C[C]([H])(O)CC[C]4(C)[C]3([H])C[C]([H])(O)[C]12C	
			COC1=C(O)C=CC(=C1)C1=C(O[CH]2O[CH](CO)[CH](O)[CH](O)[CH]2O[CH]2O[CH](CO)[CH](O)[CH](O)[CH]2O)C=C2C(O)=CC(O)=CC2=[O+]1	
DB01082			CN[CH]1[CH](O)[CH](O)[CH](CO)O[CH]1O[CH]1[CH](O[CH]2[CH](O)[CH](O)[CH](NC(N)=N)[CH](O)[CH]2NC(N)=N)O[CH](C)[C]1(O)C=O	
			InChI=1SC23H45NO4c1-5-6-7-8-9-10-11-12-13-14-15-16-17-18-23(27)28-21(19-22(25)26)20-24(2,3)4h21H,5-20H2,1-4H3t21-m1s1	
			[H][C]1(CC[C]2([H])[C]3([H])CC(=O)[C]4([H])C[CH](O)[CH](O)C[C]4(C)[C]3([H])CC[C]12C)[CH](C)[CH](O)[CH](O)[CH](C)C(C)C	
			CC1=C(O)C(=O)CC(OC2CC(C)(C)CC3C4=CCC5C6(C)CCC(OC7OC(C(O)C(O)C7OC7OCC(O)C(O)C7O)C(O)=O)C(C)(CO)C6CCC5(C)C4(C)CCC23C)O1	
			CCC(C)C1NC(=O)CNC(=O)C2CC3=C(NC4=CC(O)=CC=C34)S(=O)CC(NC(=O)CNC1=O)C(=O)NC(CC(N)=O)C(=O)N1CCCC1C(=O)NC(C(C)CC)C(=O)N2	T3D3592
			COC1=C(O)C=CC(=C1)C1=C(O[CH]2O[CH](CO[CH]3O[CH](CO)[CH](O)[CH](O)[CH]3O)[CH](O)[CH](O)[CH]2O)C(=O)C2=C(O1)C=C(O)C=C2O	
			CC1OC(OC2C(O)C(O)COC2OC2C(O)C(O)C(OC2OC2CCC3(C)C(CCC4(C)C3CC=C3C5CC(C)(C)CC(=O)C5(C)CCC43C)C2(C)CO)C(O)=O)C(O)C(O)C1O	
			COC1=C(O)C=CC(=C1)C1=C(O[CH]2O[CH](CO)[CH](O)[CH](O)[CH]2O)C(=O)C2=C(O1)C=C(O[CH]1O[CH](CO)[CH](O)[CH](O)[CH]1O)C=C2O	
			[H][C](C)(CCC(O)=O)[C]1([H])CC[C]2([H])[C]3([H])[C]([H])(O)C[C]4([H])C[C]([H])(O)CC[C]4(C)[C]3([H])C[C]([H])(O)[C]12C	T3D4343
			C[CH]1O[CH](OC2=CC3=C(C(=O)C(O)=C(O3)C3=CC(O)=C(O)C=C3)C(O)=C2)[CH](O)[CH](O)[CH]1O[CH]1O[CH](CO)[CH](O)[CH](O)[CH]1O	
			[H]OC(=O)C([H])([H])C(=O)O[C]([H])(C([H])([H])C([O-])=O)C([H])([H])[N+](C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H]	
			[H]N(C([H])([H])C([H])([H])C([H])=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N([H])C([H])([H])C([H])([H])C([H])=O	
			[H]OC(=O)C([H])([H])N([H])C(=O)[C]([H])(N([H])C(=O)C([H])([H])C([H])([H])[C]([H])(N([H])[H])C(=O)O[H])C([H])([H])[H]	
			CC(C)(COP(O)(=O)OP(O)(=O)OC[CH]1O[CH]([CH](O)[CH]1OP(O)(O)=O)N1C=NC2=C1N=CN=C2N)[CH](O)C(=O)NCCC(=O)NCCSC(=O)CC(O)=O	
DB06827			[H][C]1(C[CH](O)NC(=N)N1)[C]1([H])NC(=O)C(NC(=O)[CH](CO)NC(=O)[CH](CO)NC(=O)[CH](CNC1=O)NC(=O)C[CH](N)CCCN)=CNC(N)=O	
DB09102			COC(=O)N[CH](C(C)C)C(=O)N1CCC[CH]1C1=NC=C(N1)C1=CC=C(C=C1)C1=CC=C(C=C1)C1=CN=C(N1)[CH]1CCCN1C(=O)[CH](NC(=O)OC)C(C)C	
			OC1C(COCC=CC2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(OC4OC(COC(=O)CC(O)=O)C(O)C(O)C4O)C3=C2)C2=CC=C(O)C(O)=C2)C(O)C1O	
